0,1,2,3,4,5,6
FISCAL SECTOR,,,,,,
FISCAL SECTOR,,,,,,
SDDS DATA CATEGORY AND,Foot notes,Unit,Date of,Data Observations,Data Observations,More
COMPONENT,,Description,Latest,Latest,Latest,info
,,,"Observation**
*",Data*,Data-1**,
CENTRAL GOVERNMENT DEBT,,,,,,Metadata
,,,,,,Home
A. Public debt,,,,,,
1.Internal Debt,,,,,,
(i)Market loans,,Crore of Rs,Q2 2011,2177916.74,2071389.66,
(ii) Market loans in course of repayment,,Crore of Rs,Q2 2011,646.90,1815.33,
(iii) Cash Management Bills,,Crore of Rs,Q2 2011,17719.15,0.00,
(iv) 91 day Treasury Bills,,Crore of Rs,Q2 2011,118936.26,70390.51,
(v) 91 day T.Bs funded into Spl Securities,,Crore of Rs,Q2 2011,0.00,0.00,
"(vi)  Special Securities converted into 
Marketable Securities",,Crore of Rs,Q2 2011,76817.95,76817.95,
(vii) Other Special Securities issued to RBI,,Crore of Rs,Q2 2011,1489.28,1489.28,
(viii) 14 day Treasury Bills,,Crore of Rs,Q2 2011,62879.87,103100.18,
(ix) 182 day Treasury Bills,,Crore of Rs,Q2 2011,32750.55,22000.55,
(x)Market Stabilisation Bills/Bonds,,Crore of Rs,Q2 2011,0.00,0.00,
(xi) Ways and Means Advances,,Crore of Rs,Q2 2011,770.00,0.00,
(xii) 364 day Treasury Bills,,Crore of Rs,Q2 2011,51304.29,42477.69,
"(xiii) Gold Bonds, 1998.",,Crore of Rs,Q2 2011,0.00,0.00,
(xiv) Compensation & other bonds,,Crore of Rs,Q2 2011,27984.50,31302.87,
"(xv) Securities issued to International Financial 
Institutions",,Crore of Rs,Q2 2011,29303.59,29314.81,
(xvi) Securities against Small Savings,,Crore of Rs,Q2 2011,107819.37,108130.96,
"(xvii)Spl.GOI Sec.issued to NSSF against  
reinvestment of Central Govt. Securities",,Crore of Rs,Q2 2011,110354.34,110354.34,
Total-Internal debt,,Crore of Rs,Q2 2011,2816692.79,2668584.13,
2.External debt #,,Crore of Rs,Q2 2011,312279.91,307043.63,
Total Public debt,,Crore of Rs,Q2 2011,3128972.70,2975627.76,
B. Other liabilities,,Crore of Rs,Q2 2011,588549.06,585436.12,
1. National Small Savings Fund,,Crore of Rs,Q2 2011,-8760.56,-7734.70,
2 . State Provident Funds,,Crore of Rs,Q2 2011,113008.16,109553.56,
3. Other Accounts,,Crore of Rs,Q2 2011,357196.76,360568.89,
"(i) Special Deposits of Non-Government 
Provident Funds,etc.",,Crore of Rs,Q2 2011,107422.55,108259.53,
(ii) Other items.,,Crore of Rs,Q2 2011,249774.21,252309.36,
4. Reserve Funds & Deposits,,Crore of Rs,Q2 2011,127104.70,123048.37,
(i) Bearing interest,,Crore of Rs,Q2 2011,70749.11,69993.89,
(ii) Not bearing interest,,Crore of Rs,Q2 2011,56355.59,53054.48,
TOTAL DEBT,,Crore of Rs,Q2 2011,3717521.76,3561063.88,
Guaranteed debt,,,,,,
(i) Total guaranteed debt,,Crore of Rs,Q2 2011,156075.86,127964.11,
(ii) Outstanding guaranteed debt,,Crore of Rs,Q2 2011,143959.04,115401.43,
"Note: * Current (data are provisional), ** Previous, ***Q2 =  Second Qtr  (April-June, 2011)",,,,,,
http://finmin.nic.in/stats_data/central_govt_borrowingsdata_index.html.,,,,,,
# Includes net cumulative SDR allocation and accrued interest  theron at end-June 2011.,,,,,,
