0,1,2,3,4,5,6
,,FISCAL SECTOR,,,,
SDDS DATA CATEGORY AND,Foot notes Unit,,Date of,Data Observations,,More
COMPONENT,,Description,Latest,Latest,Latest,info
,,,ObservationData*,,Data-1**,
CENTRAL GOVERNMENT DEBT,,,***,,,Metadata
,,,,,,Home
A. Public debt,,,,,,
1.Internal debt,,,,,,
(i)Market loans,,Crore of Rs,Q4 2005,838898.78,811029.70,
(ii) Market loans in course of repayment,,Crore of Rs,Q4 2005,1120.20,677.39,
(iii) 91 day Treasury Bills,,Crore of Rs,Q4 2005,12265.49,12592.92,
(iv) 91 day T.Bs funded into Spl Securities,,Crore of Rs,Q4 2005,0.00,0.00,
(v)  Special Securities converted into,,,,,,
Marketable Securities,,Crore of Rs,Q4 2005,103817.95,111817.95,
(vi) Other Special Securities issued to RBI,,Crore of Rs,Q4 2005,1517.23,1517.23,
(vii) 14 day Treasury Bills,,Crore of Rs,Q4 2005,34264.66,36049.42,
(viii) 182 day Treasury Bills,,Crore of Rs,Q4 2005,7417.73,6978.50,
(ix)Market Stabilisation Bills/Bonds,,Crore of Rs,Q4 2005,45138.78,67327.57,
(x) Ways and Means Advances,,Crore of Rs,Q4 2005,0.00,0.00,
(xi) 364 day Treasury Bills,,Crore of Rs,Q4 2005,26855.47,26572.64,
"(xii) Gold Bonds, 1998.",,Crore of Rs,Q4 2005,0.00,0.00,
(xiii) Compensation & other bonds,,Crore of Rs,Q4 2005,72966.76,71312.54,
(xiv) Securities issued to Inter-national,,Crore of Rs,Q4 2005,24417.73,22193.42,
Financial Institutions,,,,,,
(xv) Securities against Small Savings,,Crore of Rs,Q4 2005,202065.40,202096.75,
Total-Internal debt,,Crore of Rs,Q4 2005,1370746.18,1370166.03,
2.External debt,,Crore of Rs,Q4 2005,192556.80,187634.30,
Total Public debt,,Crore of Rs,Q4 2005,1563302.98,1557800.33,
B. Other liabilities,,Crore of Rs,Q4 2005,363932.01,356321.31,
1. National Small Savings Fund,,Crore of Rs,Q4 2005,6725.82,4501.38,
2 . State Provident Funds,,Crore of Rs,Q4 2005,62192.78,61582.89,
3. Other Accounts,,Crore of Rs,Q4 2005,192385.51,186436.98,
(i) Special Deposits of Non-Government,,Crore of Rs,Q4 2005,118407.08,118468.97,
"Provident Funds,etc.",,,,,,
(ii) Other items.,,Crore of Rs,Q4 2005,73978.43,67968.01,
4. Reserve Funds & Deposits,,Crore of Rs,Q4 2005,102627.90,103800.06,
(i) Bearing interest,,Crore of Rs,Q4 2005,47716.13,47447.03,
(ii) Not bearing interest,,Crore of Rs,Q4 2005,54911.77,56353.03,
TOTAL DEBT,,Crore of Rs,Q4 2005,1927234.99,1914121.64,
Guaranteed debt,,,,,,
(i) Total guaranteed debt,,Crore of Rs,Q4 2005,235160.00,234869.01,
(ii) Outstanding guaranteed debt,,Crore of Rs,Q4 2005,86654.27,88683.79,
"Note: * Current, ** Previous,  ***Q4= fourth Qtr  (Oct.-December)",,,,,,
http://finmin.nic.in/stats_data/central_govt_borrowingsdata_index.html.,,,,,,
