0,1,2,3,4,5,6
"Ministry of Finance.Department of Economic Affairs. Budget Division.
 Special Data Dissemination Standard [SDDS] National Summary Data Page [NSDP]
Central Government Debt [CGD]",,,,,,
SDDS DATA CATEGORY AND COMPONENT,"Unit of 
Description",Period of Latest Data,,Latest Data,Previous Data,"Percentage change from 
previous to latest period"
1. Public debt (2+3),` Crore,Jul /15 - Sep /15,,5366258,5301394,1.2%
2.External debt,` Crore,Jul /15 - Sep /15,,427226,410548,4.1%
3.Internal debt,` Crore,Jul /15 - Sep /15,,4939032,4890846,1.0%
4 Other liabilities,` Crore,Jul /15 - Sep /15,,707062,687746,2.8%
5. TOTAL DEBT (1+4),` Crore,Jul /15 - Sep /15,,6073320,5989140,1.4%
Guaranteed debt,,,,,,
1.Total guaranteed debt,` Crore,Jul /15 - Sep /15,,303795,289126,5.1%
II.Outstanding guaranteed debt,` Crore,Jul /15 - Sep /15,,274618,263102,4.4%
,,,,,,
FISCAL SECTOR,,,,,,
FISCAL SECTOR,,,,,,
SDDS DATA CATEGORY AND COMPONENT,Foot notes,Unit Description Date of Latest,Observation***,"Data 
Observations 
Latest Data*","Data Observations 
Latest Data-1**",More info Metadata Home
CENTRAL GOVERNMENT DEBT,,,,,,
A. Public debt,,,,,,
1.Internal Debt,,,,,,
(i)Market loans,,Crore of `,Q3 2015,4108779.10,3999634.88,
(ii) Market loans in course of repayment,,Crore of `,Q3 2015,20.92,21.50,
(iii) Cash Management Bills,,Crore of `,Q3 2015,0.00,0.00,
(iv) 91 day Treasury Bills,,Crore of `,Q3 2015,169522.05,187039.20,
(v) 91 day T.Bs funded into Spl Securities,,Crore of `,Q3 2015,0.00,0.00,
"(vi)  Special Securities converted into Marketable 
Securities",,Crore of `,Q3 2015,64817.95,67817.95,
(vii) Other Special Securities issued to RBI,,Crore of `,Q3 2015,1489.28,1489.28,
(viii) 14 day Treasury Bills,,Crore of `,Q3 2015,22322.60,69557.25,
(ix) 182 day Treasury Bills,,Crore of `,Q3 2015,84381.64,77783.94,
(x)Market Stabilisation Bills/Bonds,,Crore of `,Q3 2015,0.00,0.00,
(xi) Ways and Means Advances,,Crore of `,Q3 2015,0.00,0.00,
(xii) 364 day Treasury Bills,,Crore of `,Q3 2015,148043.03,148053.33,
(xiii) Gold Bonds,,Crore of `,Q3 2015,0.00,0.00,
(xiv) Compensation & other bonds,,Crore of `,Q3 2015,33011.82,33882.49,
"(xv) Securities issued to International Financial 
Institutions",,Crore of `,Q3 2015,44603.02,44633.00,
(xvi) Securities against Small Savings,,Crore of `,Q3 2015,101660.29,100552.77,
"(xvii)Spl.GOI Sec.issued to NSSF against  
reinvestment of Central Govt. Securities",,Crore of `,Q3 2015,160380.34,160380.34,
Total-Internal debt,,Crore of `,Q3 2015,4939032.04,4890845.93,
2.External debt #,,Crore of `,Q3 2015,427225.86,410547.94,
Total Public debt,,Crore of `,Q3 2015,5366257.90,5301393.87,
B. Other liabilities,,Crore of `,Q3 2015,707062.36,687745.77,
1. National Small Savings Fund,,Crore of `,Q3 2015,50726.94,23603.87,
2 . State Provident Funds,,Crore of `,Q3 2015,155990.88,156003.72,
3. Other Accounts,,Crore of `,Q3 2015,318423.03,316841.98,
"(i) Special Deposits of Non-Government Provident 
Funds,etc.",,Crore of `,Q3 2015,103449.61,103562.21,
(ii) Other items.,,Crore of `,Q3 2015,214973.42,213279.77,
4. Reserve Funds & Deposits,,Crore of `,Q3 2015,181921.51,191296.20,
(i) Bearing interest,,Crore of `,Q3 2015,107445.75,106766.79,
(ii) Not bearing interest,,Crore of `,Q3 2015,74475.76,84529.41,
TOTAL DEBT,,Crore of `,Q3 2015,6073320.26,5989139.64,
Guaranteed debt,,,,,,
(i) Total guaranteed debt,,Crore of `,Q3 2015,303795.06,289125.88,
(ii) Outstanding guaranteed debt,,Crore of `,Q3 2015,274617.63,263101.77,
"Note: * Current, ** Previous, ***Q 3= Third  Quarter  (July -September 2015)",,,,,,
http://finmin.nic.in/the_ministry/dept_eco_affairs/middle_office/debt_stat.asp,,,,,,
# Includes net cumulative SDR allocation and accrued interest  thereon at end-September 2015.,,,,,,
