0,1,2,3,4,5,6
"Ministry of Finance.Department of Economic Affairs. Budget Division.
 Special Data Dissemination Standard [SDDS] National Summary Data Page [NSDP]
Central Government Debt [CGD]",,,,,,
SDDS DATA CATEGORY AND COMPONENT,"Unit of 
Description",Period of Latest Data,,Latest Data,Previous Data,"Percentage change from 
previous to latest period"
1. Public debt (2+3),` Crore,Oct/16 - Dec/16,,"61,84,106.43","60,33,463.96",2.5%
2.External debt,` Crore,Oct/16 - Dec/16,,"4,50,373.28","4,59,732.30",-2.0%
3.Internal debt,` Crore,Oct/16 - Dec/16,,"57,33,733.15","55,73,711.66",2.9%
4 Other liabilities,` Crore,Oct/16 - Dec/16,,"8,24,104.09","7,70,934.43",6.9%
5. TOTAL DEBT (1+4),` Crore,Oct/16 - Dec/16,,"70,08,210.521","68,04,398.39",3.0%
Guaranteed debt,,,,,,
1.Total guaranteed debt,` Crore,Oct/16 - Dec/16,,"3,28,651.66","3,65,656.65",-10.1%
II.Outstanding guaranteed debt,` Crore,Oct/16 - Dec/16,,"2,87,939.09","2,85,168.69",1.0%
,,,,,,
FISCAL SECTOR,,,,,,
FISCAL SECTOR,,,,,,
SDDS DATA CATEGORY AND COMPONENT,Foot notes,Unit Description Date of Latest,Observation***,"Data 
Observations 
Latest Data*","Data Observations 
Latest Data-1**",More info Metadata Home
CENTRAL GOVERNMENT DEBT,,,,,,
A. Public debt,,,,,,
1.Internal Debt,,,,,,
(i)Market loans,,Crore of `,Q4 2016,"46,61,884.87","45,34,035.68",
(ii) Market loans in course of repayment,,Crore of `,Q4 2016,"4,147.56","3,083.94",
(iii) Market Stabilisation Bills / Bonds (Face Value),,Crore of `,Q4 2016,"2,315.98",0.00,
(iv) 91 day Treasury Bills,,Crore of `,Q4 2016,"1,86,765.35","1,75,804.56",
(v) 91 day T.Bs funded into Spl Securities,,Crore of `,Q4 2016,0.00,0.00,
"(vi)  Special Securities converted into Marketable 
Securities",,Crore of `,Q4 2016,"64,817,95","64,817,95",
(vii) Other Special Securities issued to RBI,,Crore of `,Q4 2016,"1,489.28","1,489.28",
(viii) 14 day Treasury Bills,,Crore of `,Q4 2016,"1,06,775.35","96,091,67",
(ix) 182 day Treasury Bills,,Crore of `,Q4 2016,"94,456,06","88,598,77",
(x) Market stabilisation Scheme,,Crore of `,Q4 2016,0.00,0.00,
(xi) Ways and Means Advances,,Crore of `,Q4 2016,0.00,0.00,
(xii) 364 day Treasury Bills,,Crore of `,Q4 2016,"1,56,533.74","1,56,555.32",
(xiii) Gold Bonds.,,Crore of `,Q4 2016,0.00,0.00,
(xiv) Compensation & other bonds,,Crore of `,Q4 2016,"35,068,35","32,446,47",
(xv) Securities issued to International Financial Institutions,,Crore of `,Q4 2016,"1,08,524.88","1,08,553.59",
(xvi) Securities against Small Savings,,Crore of `,Q4 2016,"1,22,382.52","1,23,663.62",
"(xvii)Spl.GOI Sec.issued to NSSF against  reinvestment of 
Central Govt. Securities",,Crore of `,Q4 2016,"1,88,570.81","1,88,570.81",
Total-Internal debt,,Crore of `,Q4 2016,"57,33,733.15","55,73,711.66",
2.External debt #,,Crore of `,Q4 2016,"4,50,373.28","4,59,752.30",
Total Public debt,,Crore of `,Q4 2016,"61,84,106.43","60,33,463.96",
B. Other liabilities,,Crore of `,Q4 2016,"8,24,104.09","7,70,934.43",
1. National Small Savings Fund,,Crore of `,Q4 2016,"1,33,312.46","87,162,38",
2 . State Provident Funds,,Crore of `,Q4 2016,"1,72,822.05","1,70,161.35",
3. Other Accounts,,Crore of `,Q4 2016,"3,19,586.51","3,20,237.02",
"(i) Special Deposits of Non-Government Provident 
Funds,etc.",,Crore of `,Q4 2016,"1,02,977.50","1,03,003.64",
(ii) Other items.,,Crore of `,Q4 2016,"2,16,609.01","2,17,233.38",
4. Reserve Funds & Deposits,,Crore of `,Q4 2016,"1,98,383.07","1,93,373.68",
(i) Bearing interest,,Crore of `,Q4 2016,"1,20,272.84","1,22,199.60",
(ii) Not bearing interest,,Crore of `,Q4 2016,"78,110.23","71,174,08",
TOTAL DEBT,,Crore of `,Q4 2016,"70,08,210.521","68,04,398.39",
Guaranteed debt,,,,,,
(i) Total guaranteed debt,,Crore of `,Q4 2016,"3,28,651.66","3,65,656.65",
(ii) Outstanding guaranteed debt,,Crore of `,Q4 2016,"2,87,939.09","2,85,168.69",
"Note: * Current, ** Previous, ***Q 4= Fourth  Quarter  (Oct - Dec 2016)",,,,,,
http://finmin.nic.in/the_ministry/dept_eco_affairs/middle_office/debt_stat.asp,,,,,,
# Includes net cumulative SDR allocation and accrued interest  thereon at end-Dec 2016.,,,,,,
