0,1,2,3,4,5,6
,,,,,,
,,FISCAL SECTOR,,,,
SDDS DATA CATEGORY AND,Foot notes Unit,,Date of,Data Observations,,More
COMPONENT,,Description,Latest,Latest,Latest,info
,,,Observation,Data*,Data-1**,
CENTRAL GOVERNMENT DEBT,,,***,,,Metadata
,,,,,,Home
A. Public debt,,,,,,
1.Internal debt,,,,,,
(i)Market loans,,Crore of Rs,Q2 2005,786384.35,753551.83,
(ii) Market loans in course of repayment,,Crore of Rs,Q2 2005,7432.88,443.30,
(iii) 91 day Treasury Bills,,Crore of Rs,Q2 2005,10544.32,8445.61,
(iv) 91 day T.Bs funded into Spl Securities,,Crore of Rs,Q2 2005,0.00,0.00,
(v)  Special Securities converted into,,,,,,
Marketable Securities,,Crore of Rs,Q2 2005,111817.95,116817.95,
(vi) Other Special Securities issued to RBI,,Crore of Rs,Q2 2005,1517.23,1517.23,
(vii) 14 day Treasury Bills,,Crore of Rs,Q2 2005,28390.58,14604.16,
(viii) 182 day Treasury Bills,,Crore of Rs,Q2 2005,3156.94,0.00,
(ix)Market Stabilisation Bills/Bonds,,Crore of Rs,Q2 2005,71680.65,64211.16,
(x) Ways and Means Advances,,Crore of Rs,Q2 2005,0.00,0.00,
(xi) 364 day Treasury Bills,,Crore of Rs,Q2 2005,26320.32,26039.62,
"(xii) Gold Bonds, 1998.",,Crore of Rs,Q2 2005,0.00,0.00,
(xiii) Compensation & other bonds,,Crore of Rs,Q2 2005,68876.56,66422.64,
(xiv) Securities issued to Inter-national,,Crore of Rs,Q2 2005,21589.91,21644.55,
Financial Institutions,,,,,,
(xv) Securities against Small Savings,,Crore of Rs,Q2 2005,202174.34,204066.38,
Total-Internal debt,,Crore of Rs,Q2 2005,1339886.03,1277764.43,
2.External debt,,Crore of Rs,Q2 2005,186533.60,191144.40,
Total Public debt,,Crore of Rs,Q2 2005,1526419.63,1468908.83,
B. Other liabilities,,Crore of Rs,Q2 2005,350770.29,353742.19,
1. National Small Savings Fund,,Crore of Rs,Q2 2005,5110.07,11881.64,
2 . State Provident Funds,,Crore of Rs,Q2 2005,61293.04,57171.43,
3. Other Accounts,,Crore of Rs,Q2 2005,185692.07,184598.08,
(i) Special Deposits of Non-Government,,Crore of Rs,Q2 2005,118575.38,118640.92,
"Provident Funds,etc.",,,,,,
(ii) Other items.,,Crore of Rs,Q2 2005,67116.69,65957.16,
4. Reserve Funds & Deposits,,Crore of Rs,Q2 2005,98675.11,100091.04,
(i) Bearing interest,,Crore of Rs,Q2 2005,46775.86,45360.04,
(ii) Not bearing interest,,Crore of Rs,Q2 2005,51899.25,54731.00,
TOTAL DEBT,,Crore of Rs,Q2 2005,1877189.92,1822651.02,
Guaranteed debt,,,,,,
(i) Total guaranteed debt,,Crore of Rs,Q2 2005,161784.69,165336.73,
(ii) Outstanding guaranteed debt,,Crore of Rs,Q2 2005,108070.77,99933.48,
"Note: * Current, ** Previous,  ***Q2= Second Qtr  (April-June))",,,,,,
http://finmin.nic.in/stats_data/central_govt_borrowingsdata_index.html.,,,,,,
