0,1,2,3,4,5,6
"Ministry of Finance.Department of Economic Affairs. Budget Division.
 Special Data Dissemination Standard [SDDS] National Summary Data Page [NSDP]
Central Government Debt [CGD]",,,,,,
SDDS DATA CATEGORY AND COMPONENT,"Unit of 
Description",Period of Latest Data,,Latest Data,Previous Data,"Percentage change from 
previous to latest period"
1. Public debt (2+3),` Crore,Oct /15 - Dec /15,,5575376,5366258,3.9%
2.External debt,` Crore,Oct /15 - Dec /15,,429145,427226,0.4%
3.Internal debt,` Crore,Oct /15 - Dec /15,,5146230,4939032,4.2%
4 Other liabilities,` Crore,Oct /15 - Dec /15,,728538,707062,3.0%
5. TOTAL DEBT (1+4),` Crore,Oct /15 - Dec /15,,6303914,6073320,3.8%
Guaranteed debt,,,,,,
1.Total guaranteed debt,` Crore,Oct /15 - Dec /15,,306362,303795,0.8%
II.Outstanding guaranteed debt,` Crore,Oct /15 - Dec /15,,267814,274618,-2.5%
,,,,,,
FISCAL SECTOR,,,,,,
FISCAL SECTOR,,,,,,
SDDS DATA CATEGORY AND COMPONENT,Foot notes,Unit Description Date of Latest,Observation***,"Data 
Observations 
Latest Data*","Data Observations 
Latest Data-1**",More info Metadata Home
CENTRAL GOVERNMENT DEBT,,,,,,
A. Public debt,,,,,,
1.Internal Debt,,,,,,
(i)Market loans,,Crore of `,Q4 2015,4251340.42,4108779.10,
(ii) Market loans in course of repayment,,Crore of `,Q4 2015,266.44,20.92,
(iii) Cash Management Bills,,Crore of `,Q4 2015,0.00,0.00,
(iv) 91 day Treasury Bills,,Crore of `,Q4 2015,186250.75,169522.05,
(v) 91 day T.Bs funded into Spl Securities,,Crore of `,Q4 2015,0.00,0.00,
"(vi)  Special Securities converted into Marketable 
Securities",,Crore of `,Q4 2015,64817.95,64817.95,
(vii) Other Special Securities issued to RBI,,Crore of `,Q4 2015,1489.28,1489.28,
(viii) 14 day Treasury Bills,,Crore of `,Q4 2015,59070.80,22322.60,
(ix) 182 day Treasury Bills,,Crore of `,Q4 2015,90372.77,84381.64,
(x)Market Stabilisation Bills/Bonds,,Crore of `,Q4 2015,0.00,0.00,
(xi) Ways and Means Advances,,Crore of `,Q4 2015,0.00,0.00,
(xii) 364 day Treasury Bills,,Crore of `,Q4 2015,149024.73,148043.03,
(xiii) Gold Bonds.,,Crore of `,Q4 2015,0.00,0.00,
(xiv) Compensation & other bonds,,Crore of `,Q4 2015,32516.01,33011.82,
"(xv) Securities issued to International Financial 
Institutions",,Crore of `,Q4 2015,44568.37,44603.02,
(xvi) Securities against Small Savings,,Crore of `,Q4 2015,106132.39,101660.29,
"(xvii)Spl.GOI Sec.issued to NSSF against  
reinvestment of Central Govt. Securities",,Crore of `,Q4 2015,160380.34,160380.34,
Total-Internal debt,,Crore of `,Q4 2015,5146230.25,4939032.04,
2.External debt #,,Crore of `,Q4 2015,429145.41,427225.86,
Total Public debt,,Crore of `,Q4 2015,5575375.66,5366257.90,
B. Other liabilities,,Crore of `,Q4 2015,728538.08,707062.36,
1. National Small Savings Fund,,Crore of `,Q4 2015,69205.39,50726.94,
2 . State Provident Funds,,Crore of `,Q4 2015,157179.02,155990.88,
3. Other Accounts,,Crore of `,Q4 2015,320450.11,318423.03,
"(i) Special Deposits of Non-Government Provident 
Funds,etc.",,Crore of `,Q4 2015,103401.82,103449.61,
(ii) Other items.,,Crore of `,Q4 2015,217048.29,214973.42,
4. Reserve Funds & Deposits,,Crore of `,Q4 2015,181703.56,181921.51,
(i) Bearing interest,,Crore of `,Q4 2015,107886.21,107445.75,
(ii) Not bearing interest,,Crore of `,Q4 2015,73817.35,74475.76,
TOTAL DEBT,,Crore of `,Q4 2015,6303913.74,6073320.26,
Guaranteed debt,,,,,,
(i) Total guaranteed debt,,Crore of `,Q4 2015,306362.31,303795.06,
(ii) Outstanding guaranteed debt,,Crore of `,Q4 2015,267814.34,274617.63,
"Note: * Current, ** Previous, ***Q 4= Fourth  Quarter  (Oct - December 2015)",,,,,,
http://finmin.nic.in/the_ministry/dept_eco_affairs/middle_office/debt_stat.asp,,,,,,
# Includes net cumulative SDR allocation and accrued interest  thereon at end-December 2015.,,,,,,
