0,1,2,3,4,5,6
FISCAL SECTOR,,,,,,
FISCAL SECTOR,,,,,,
SDDS DATA CATEGORY AND,Foot notes,Unit,Date of,Data Observations Data Observations,,More
COMPONENT,,Description,Latest,Latest,Latest,info
,,,"Observation**
*",Data*,Data-1**,
CENTRAL GOVERNMENT DEBT,,,,,,Metadata
,,,,,,Home
A. Public debt,,,,,,
1.Internal Debt,,,,,,
(i)Market loans,,Crore of Rs,Q1 2012,2516511.45,2385516.46,
(ii) Market loans in course of repayment,,Crore of Rs,Q1 2012,645.79,1370.88,
(iii) Cash Management Bills,,Crore of Rs,Q1 2012,0.00,0.00,
(iv) 91 day Treasury Bills,,Crore of Rs,Q1 2012,124655.78,87160.83,
(v) 91 day T.Bs funded into Spl Securities,,Crore of Rs,Q1 2012,0.00,0.00,
"(vi)  Special Securities converted into 
Marketable Securities",,Crore of Rs,Q1 2012,76817.95,76817.95,
(vii) Other Special Securities issued to RBI,,Crore of Rs,Q1 2012,1489.28,1489.28,
(viii) 14 day Treasury Bills,,Crore of Rs,Q1 2012,97800.22,69916.35,
(ix) 182 day Treasury Bills,,Crore of Rs,Q1 2012,52001.25,45351.25,
(x)Market Stabilisation Bills/Bonds,,Crore of Rs,Q1 2012,0.00,0.00,
(xi) Ways and Means Advances,,Crore of Rs,Q1 2012,0.00,25141.00,
(xii) 364 day Treasury Bills,,Crore of Rs,Q1 2012,90377.74,80367.44,
"(xiii) Gold Bonds, 1998.",,Crore of Rs,Q1 2012,0.00,0.00,
(xiv) Compensation & other bonds,,Crore of Rs,Q1 2012,25714.22,21359.45,
"(xv) Securities issued to International 
Financial Institutions",,Crore of Rs,Q1 2012,29625.59,30092.84,
(xvi) Securities against Small Savings,,Crore of Rs,Q1 2012,97828.47,107241.69,
"(xvii)Spl.GOI Sec.issued to NSSF against  
reinvestment of Central Govt. Securities",,Crore of Rs,Q1 2012,110354.34,110354.34,
Total-Internal debt,,Crore of Rs,Q1 2012,3223822.08,3042179.76,
2.External debt #,,Crore of Rs,Q1 2012,354421.55,371502.87,
Total Public debt,,Crore of Rs,Q1 2012,3578243.63,3413682.63,
B. Other liabilities,,Crore of Rs,Q1 2012,595130.09,585286.58,
1. National Small Savings Fund,,Crore of Rs,Q1 2012,7599.21,-3334.35,
2 . State Provident Funds,,Crore of Rs,Q1 2012,119685.33,115843.45,
3. Other Accounts,,Crore of Rs,Q1 2012,332152.42,341456.58,
"(i) Special Deposits of Non-Government 
Provident Funds,etc.",,Crore of Rs,Q1 2012,103030.88,104073.76,
(ii) Other items.,,Crore of Rs,Q1 2012,229121.54,237382.82,
4. Reserve Funds & Deposits,,Crore of Rs,Q1 2012,135693.13,131320.90,
(i) Bearing interest,,Crore of Rs,Q1 2012,71806.12,62958.61,
(ii) Not bearing interest,,Crore of Rs,Q1 2012,63887.01,68362.29,
TOTAL DEBT,,Crore of Rs,Q1 2012,4173373.72,3998969.21,
Guaranteed debt,,,,,,
(i) Total guaranteed debt,,Crore of Rs,Q1 2012,189753.89,179608.84,
(ii) Outstanding guaranteed debt,,Crore of Rs,Q1 2012,170620.94,160816.05,
"Note: *:-Current (data are provisional), **:-Previous Quarter, ***:-Q1 =  First Qtr  (Jan-Mar, 2012)",,,,,,
"http://finmin.nic.in/stats_data/central_govt_borrowingsdata_index.html.
# Includes net cumulative SDR allocation and accrued interest  thereon at end-Mar. 2012.",,,,,,
