0,1,2,3,4,5,6
,,FISCAL SECTOR,,,,
SDDS DATA CATEGORY AND  Foot notes,,Unit,Date of,Data Observations,,More
COMPONENT,,Description,Latest,Latest,Latest,info
,,,Observation,Data*,Data-1**,
CENTRAL GOVERNMENT DEBT,,,***,,,Metadata
,,,,,,Home
A. Public debt,,,,,,
1.Internal debt,,,,,,
(i)Market loans,,Crore of Rs,Q1 2006,861909.51,838898.78,
(ii) Market loans in course of repayment,,Crore of Rs,Q1 2006,461.36,1120.20,
(iii) 91 day Treasury Bills,,Crore of Rs,Q1 2006,16363.83,12265.49,
(iv) 91 day T.Bs funded into Spl Securities,,Crore of Rs,Q1 2006,0.00,0.00,
(v)  Special Securities converted into,,,,,,
Marketable Securities,,Crore of Rs,Q1 2006,103817.95,103817.95,
(vi) Other Special Securities issued to RBI,,Crore of Rs,Q1 2006,1517.23,1517.23,
(vii) 14 day Treasury Bills,,Crore of Rs,Q1 2006,39339.54,34264.66,
(viii) 182 day Treasury Bills,,Crore of Rs,Q1 2006,6771.37,7417.73,
(ix)Market Stabilisation Bills/Bonds,,Crore of Rs,Q1 2006,29062.17,45138.78,
(x) Ways and Means Advances,,Crore of Rs,Q1 2006,0.00,0.00,
(xi) 364 day Treasury Bills,,Crore of Rs,Q1 2006,29014.42,26855.47,
"(xii) Gold Bonds, 1998.",,Crore of Rs,Q1 2006,0.00,0.00,
(xiii) Compensation & other bonds,,Crore of Rs,Q1 2006,72760.59,72966.76,
(xiv) Securities issued to Inter-national,,Crore of Rs,Q1 2006,25152.38,24417.73,
Financial Institutions,,,,,,
(xv) Securities against Small Savings,,Crore of Rs,Q1 2006,201821.67,202065.40,
Total-Internal debt,,Crore of Rs,Q1 2006,1387992.02,1370746.18,
2.External debt,,Crore of Rs,Q1 2006,194072.73,192556.80,
Total Public debt,,Crore of Rs,Q1 2006,1582064.75,1563302.98,
B. Other liabilities,,Crore of Rs,Q1 2006,383403.25,363932.01,
1. National Small Savings Fund,,Crore of Rs,Q1 2006,6946.12,6725.82,
2 . State Provident Funds,,Crore of Rs,Q1 2006,62419.43,62192.78,
3. Other Accounts,,Crore of Rs,Q1 2006,204531.46,192385.51,
(i) Special Deposits of Non-Government,,Crore of Rs,Q1 2006,118279.48,118407.08,
"Provident Funds,etc.",,,,,,
(ii) Other items.,,Crore of Rs,Q1 2006,86251.98,73978.43,
4. Reserve Funds & Deposits,,Crore of Rs,Q1 2006,109506.24,102627.90,
(i) Bearing interest,,Crore of Rs,Q1 2006,53406.89,47716.13,
(ii) Not bearing interest,,Crore of Rs,Q1 2006,56099.35,54911.77,
TOTAL DEBT,,Crore of Rs,Q1 2006,1965468.00,1927234.99,
Guaranteed debt,,,,,,
(i) Total guaranteed debt,,Crore of Rs,Q1 2006,235031.85,235160.00,
(ii) Outstanding guaranteed debt,,Crore of Rs,Q1 2006,92789.33,86654.27,
"Note: * Current, ** Previous,  ***Q1= First Qtr  (Jan.-March)",,,,,,
http://finmin.nic.in/stats_data/central_govt_borrowingsdata_index.html.,,,,,,
