0,1,2,3,4,5,6
"Ministry of Finance.Department of Economic Affairs. Budget Division.
 Special Data Dissemination Standard [SDDS] National Summary Data Page [NSDP]
Central Government Debt [CGD]",,,,,,
SDDS DATA CATEGORY AND COMPONENT,"Unit of 
Description",Period of Latest Data,,Latest Data,Previous Data,"Percentage change from 
previous to latest period"
1. Public debt (2+3),` Crore,Jan./15 - March /15,,5139047,5054804,1.7%
2.External debt,` Crore,Jan./15 - March /15,,400734,413313,-3.0%
3.Internal debt,` Crore,Jan./15 - March /15,,4738313,4641492,2.1%
4 Other liabilities,` Crore,Jan./15 - March /15,,655486,683623,-4.1%
5. TOTAL DEBT (1+4),` Crore,Jan./15 - March /15,,5794533,5738427,1.0%
Guaranteed debt,,,,,,
1.Total guaranteed debt,` Crore,Jan./15 - March /15,,294371,288734,2.0%
II.Outstanding guaranteed debt,` Crore,Jan./15 - March /15,,248023,249711,-0.7%
,,,,,,
FISCAL SECTOR,,,,,,
FISCAL SECTOR,,,,,,
SDDS DATA CATEGORY AND COMPONENT,Foot notes,Unit Description Date of Latest,Observation***,"Data 
Observations 
Latest Data*","Data Observations 
Latest Data-1**",More info Metadata Home
CENTRAL GOVERNMENT DEBT,,,,,,
A. Public debt,,,,,,
1.Internal Debt,,,,,,
(i)Market loans,,Crore of `,Q1 2015,3891708.82,3802134.25,
(ii) Market loans in course of repayment,,Crore of `,Q1 2015,153.06,158.02,
(iii) Cash Management Bills,,Crore of `,Q1 2015,0.00,0.00,
(iv) 91 day Treasury Bills,,Crore of `,Q1 2015,128961.47,185122.86,
(v) 91 day T.Bs funded into Spl Securities,,Crore of `,Q1 2015,0.00,0.00,
"(vi)  Special Securities converted into Marketable 
Securities",,Crore of `,Q1 2015,67817.95,67817.95,
(vii) Other Special Securities issued to RBI,,Crore of `,Q1 2015,1489.28,1489.28,
(viii) 14 day Treasury Bills,,Crore of `,Q1 2015,85678.37,71212.76,
(ix) 182 day Treasury Bills,,Crore of `,Q1 2015,77337.37,70069.21,
(x)Market Stabilisation Bills/Bonds,,Crore of `,Q1 2015,0.00,0.00,
(xi) Ways and Means Advances,,Crore of `,Q1 2015,0.00,0.00,
(xii) 364 day Treasury Bills,,Crore of `,Q1 2015,143152.18,142250.90,
"(xiii) Gold Bonds, 1998.",,Crore of `,Q1 2015,0.00,0.00,
(xiv) Compensation & other bonds,,Crore of `,Q1 2015,34228.61,34357.94,
"(xv) Securities issued to International Financial 
Institutions",,Crore of `,Q1 2015,46395.06,38602.28,
(xvi) Securities against Small Savings,,Crore of `,Q1 2015,101010.85,97973.77,
"(xvii)Spl.GOI Sec.issued to NSSF against  
reinvestment of Central Govt. Securities",,Crore of `,Q1 2015,160380.34,130302.34,
Total-Internal debt,,Crore of `,Q1 2015,4738313.36,4641491.56,
2.External debt #,,Crore of `,Q1 2015,400733.62,413312.61,
Total Public debt,,Crore of `,Q1 2015,5139046.98,5054804.17,
B. Other liabilities,,Crore of `,Q1 2015,655486.37,683622.66,
1. National Small Savings Fund,,Crore of `,Q1 2015,17759.26,60173.09,
2 . State Provident Funds,,Crore of `,Q1 2015,150431.18,145348.90,
3. Other Accounts,,Crore of `,Q1 2015,316303.29,319339.62,
"(i) Special Deposits of Non-Government Provident 
Funds,etc.",,Crore of `,Q1 2015,103596.69,102298.72,
(ii) Other items.,,Crore of `,Q1 2015,212706.60,217040.90,
4. Reserve Funds & Deposits,,Crore of `,Q1 2015,170992.64,158761.05,
(i) Bearing interest,,Crore of `,Q1 2015,105134.13,92520.16,
(ii) Not bearing interest,,Crore of `,Q1 2015,65858.51,66240.89,
TOTAL DEBT,,Crore of `,Q1 2015,5794533.35,5738426.83,
Guaranteed debt,,,,,,
(i) Total guaranteed debt,,Crore of `,Q1 2015,294370.93,288733.73,
(ii) Outstanding guaranteed debt,,Crore of `,Q1 2015,248023.33,249710.94,
"Note: * Current, ** Previous, ***Q 1= First  Quarter  (January -March 2015)",,,,,,
http://finmin.nic.in/the_ministry/dept_eco_affairs/middle_office/debt_stat.asp,,,,,,
# Includes net cumulative SDR allocation and accrued interest  thereon at end-March 2015.,,,,,,
