0,1,2,3,4,5,6
,,,,,,
,,,,,,
,,FISCAL SECTOR,,,,
SDDS DATA CATEGORY AND,Foot notes Unit,,Date of,Data Observations,,More
COMPONENT,,Description,Latest,Latest,Latest,info
,,,Observation,Data*,Data-1**,
CENTRAL GOVERNMENT DEBT,,,***,,,Metadata
,,,,,,Home
A. Public debt,,,,,,
1.Internal debt,,,,,,
(i)Market loans,,Crore of Rs,Q1 2005,753551.83,741203.12,
(ii) Market loans in course of repayment,,Crore of Rs,Q1 2005,443.30,447.48,
(iii) 91 day Treasury Bills,,Crore of Rs,Q1 2005,8445.61,8909.24,
(iv) 91 day T.Bs funded into Spl Securities,,Crore of Rs,Q1 2005,0.00,0.00,
(v)  Special Securities converted into,,,,,,
Marketable Securities,,Crore of Rs,Q1 2005,116817.95,116817.95,
(vi) Other Special Securities issued to RBI,,Crore of Rs,Q1 2005,1517.23,1517.23,
(vii) 14 day Treasury Bills,,Crore of Rs,Q1 2005,14604.16,10290.36,
(viii) 182 day Treasury Bills,,Crore of Rs,Q1 2005,0.00,0.00,
(ix)Market Stabilisation Bills/Bonds,,Crore of Rs,Q1 2005,64211.16,52607.88,
(x) Ways and Means Advances,,Crore of Rs,Q1 2005,0.00,0.00,
(xi) 364 day Treasury Bills,,Crore of Rs,Q1 2005,26039.62,26089.32,
"(xii) Gold Bonds, 1998.",,Crore of Rs,Q1 2005,0.00,0.00,
(xiii) Compensation & other bonds,,Crore of Rs,Q1 2005,66422.64,64185.04,
(xiv) Securities issued to Inter-national,,Crore of Rs,Q1 2005,21644.55,21668.11,
Financial Institutions,,,,,,
(xv) Securities against Small Savings,,Crore of Rs,Q1 2005,204066.38,202270.61,
Total-Internal debt,,Crore of Rs,Q1 2005,1277764.43,1246006.34,
2.External debt,,Crore of Rs,Q1 2005,191144.40,192118.90,
Total Public debt,,Crore of Rs,Q1 2005,1468908.83,1438125.24,
B. Other liabilities,,Crore of Rs,Q1 2005,353742.19,349407.32,
1. National Small Savings Fund,,Crore of Rs,Q1 2005,11881.64,8947.49,
2 . State Provident Funds,,Crore of Rs,Q1 2005,57171.43,56920.44,
3. Other Accounts,,Crore of Rs,Q1 2005,184598.08,184825.13,
(i) Special Deposits of Non-Government,,Crore of Rs,Q1 2005,118640.92,118834.43,
"Provident Funds,etc.",,,,,,
(ii) Other items.,,Crore of Rs,Q1 2005,46226.69,65990.70,
4. Reserve Funds & Deposits,,Crore of Rs,Q1 2005,100091.04,98714.26,
(i) Bearing interest,,Crore of Rs,Q1 2005,45360.04,41491.60,
(ii) Not bearing interest,,Crore of Rs,Q1 2005,54731.00,57222.66,
TOTAL DEBT,,Crore of Rs,Q1 2005,1822651.02,1787532.56,
Guaranteed debt,,,,,,
(i) Total guaranteed debt,,Crore of Rs,Q1 2005,165336.73,168623.59,
(ii) Outstanding guaranteed debt,,Crore of Rs,Q1 2005,99933.48,102245.24,
"Note: * Current, ** Previous,  ***Q1= First Qtr  (January-March))",,,,,,
http://finmin.nic.in/stats_data/central_govt_borrowingsdata_index.html.,,,,,,
