0,1,2,3,4,5,6
FISCAL SECTOR,,,,,,
FISCAL SECTOR,,,,,,
SDDS DATA CATEGORY AND,Foot notes,Unit,Date of,Data Observations,Data Observations,More
COMPONENT,,Description,Latest,Latest,Latest,info
,,,"Observation
***",Data*,Data-1**,
CENTRAL GOVERNMENT DEBT,,,,,,Metadata
,,,,,,Home
A. Public debt,,,,,,
1.Internal Debt,,,,,,
(i)Market loans,,Crore of Rs,Q4 2011,2385516.46,2270763.37,
(ii) Market loans in course of repayment,,Crore of Rs,Q4 2011,1370.88,657.86,
(iii) Cash Management Bills,,,,0.00,0.00,
(iv) 91 day Treasury Bills,,Crore of Rs,Q4 2011,87160.83,116514.27,
(v) 91 day T.Bs funded into Spl Securities,,Crore of Rs,Q4 2011,0.00,0.00,
"(vi)  Special Securities converted into 
Marketable Securities",,Crore of Rs,Q4 2011,76817.95,76817.95,
(vii) Other Special Securities issued to RBI,,Crore of Rs,Q4 2011,1489.28,1489.28,
(viii) 14 day Treasury Bills,,Crore of Rs,Q4 2011,69916.35,67367.27,
(ix) 182 day Treasury Bills,,Crore of Rs,Q4 2011,45351.25,41600.00,
(x)Market Stabilisation Bills/Bonds,,Crore of Rs,Q4 2011,0.00,0.00,
(xi) Ways and Means Advances,,Crore of Rs,Q4 2011,25141.00,24387.00,
(xii) 364 day Treasury Bills,,Crore of Rs,Q4 2011,80367.44,63199.44,
"(xiii) Gold Bonds, 1998.",,Crore of Rs,Q4 2011,0.00,0.00,
(xiv) Compensation & other bonds,,Crore of Rs,Q4 2011,21359.45,24201.01,
"(xv) Securities issued to International 
Financial Institutions",,Crore of Rs,Q4 2011,30092.84,30757.05,
(xvi) Securities against Small Savings,,Crore of Rs,Q4 2011,107241.69,107509.34,
"(xvii)Spl.GOI Sec.issued to NSSF against  
reinvestment of Central Govt. Securities",,Crore of Rs,Q4 2011,110354.34,110354.34,
Total-Internal debt,,Crore of Rs,Q4 2011,3042179.76,2935618.18,
2.External debt #,,Crore of Rs,Q4 2011,371502.87,340749.69,
Total Public debt,,Crore of Rs,Q4 2011,3413682.63,3276367.87,
B. Other liabilities,,Crore of Rs,Q4 2011,585286.58,583125.32,
1. National Small Savings Fund,,Crore of Rs,Q4 2011,-3334.35,-2946.83,
2 . State Provident Funds,,Crore of Rs,Q4 2011,115843.45,114108.51,
3. Other Accounts,,Crore of Rs,Q4 2011,341456.58,341062.91,
"(i) Special Deposits of Non-Government 
Provident Funds,etc.",,Crore of Rs,Q4 2011,104073.76,105338.96,
(ii) Other items.,,Crore of Rs,Q4 2011,237382.82,235723.95,
4. Reserve Funds & Deposits,,Crore of Rs,Q4 2011,131320.90,130900.73,
(i) Bearing interest,,Crore of Rs,Q4 2011,62958.61,65456.31,
(ii) Not bearing interest,,Crore of Rs,Q4 2011,68362.29,65444.42,
TOTAL DEBT,,Crore of Rs,Q4 2011,3998969.21,3859493.19,
Guaranteed debt,,,,0.00,0.00,
(i) Total guaranteed debt,,Crore of Rs,Q4 2011,179608.84,172328.75,
(ii) Outstanding guaranteed debt,,Crore of Rs,Q4 2011,160816.05,152319.39,
"Note: * Current (data are provisional), ** Previous, ***Q4 =  Fourth Qtr  (October - December, 2011)",,,,,,
http://finmin.nic.in/stats_data/central_govt_borrowingsdata_index.html.,,,,,,
# Includes net cumulative SDR allocation and accrued interest  theron at end-December 2011.,,,,,,
