0,1,2,3,4,5,6
"Ministry of Finance.Department of Economic Affairs. Budget Division.
 Special Data Dissemination Standard [SDDS] National Summary Data Page [NSDP]
Central Government Debt [CGD]",,,,,,
SDDS DATA CATEGORY AND COMPONENT,"Unit of 
Description",Period of Latest Data,,Latest Data,Previous Data,"Percentage change from 
previous to latest period"
1. Public debt (2+3),` Crore,Q1 2018,,"6,827,728.73","6,716,265.57",1.7%
2.External debt,` Crore,Q1 2018,,"482,998.47","456,665.00",5.8%
3.Internal debt,` Crore,Q1 2018,,"6,344,730.26","6,259,600.57",1.4%
4 Other liabilities,` Crore,Q1 2018,,"867,211.45","849,949.84",2.0%
5. TOTAL DEBT (1+4),` Crore,Q1 2018,,"7,694,940.18","7,566,215.41",1.7%
Guaranteed debt,,,,,,
1.Total guaranteed debt,` Crore,Q1 2018,,"310,377.91","296,693.52",4.6%
II.Outstanding guaranteed debt,` Crore,Q1 2018,,"273,710.83","247,750.79",10.5%
,,,,,,
FISCAL SECTOR,,,,,,
FISCAL SECTOR,,,,,,
SDDS DATA CATEGORY AND COMPONENT,Foot notes,Unit Description Date of Latest,Observation***,"Data 
Observations 
Latest Data*","Data Observations 
Latest Data-1**",More info Metadata Home
CENTRAL GOVERNMENT DEBT,,,,,,
A. Public debt,,,,"6,827,728.73","6,716,265.57",
1.Internal Debt,,,,6344730.26,"6,259,600.57",
(i)Market loans,,Crore of `,Q1 2018,"5,070,723.64","5,025,455.21",
(ii) Market loans in course of repayment,,Crore of `,Q1 2018,"80,020.58",20.61,
(iii) Market Stabilisation Bills / Bonds (Face Value),,Crore of `,Q1 2018,0.00,"5,326.86",
(iv) 91 day Treasury Bills,,Crore of `,Q1 2018,"138,725.92","207,463.61",
(v) 91 day T.Bs funded into Spl Securities,,Crore of `,Q1 2018,0.00,0.00,
"(vi)  Special Securities converted into Marketable 
Securities",,Crore of `,Q1 2018,"53,817.95","59,817.95",
(vii) Other Special Securities issued to RBI,,Crore of `,Q1 2018,0.00,0.00,
(viii) 14 day Treasury Bills,,Crore of `,Q1 2018,"151,038.42","149,602.11",
(ix) 182 day Treasury Bills,,Crore of `,Q1 2018,"86,871.86","73,844.81",
(x) Market stabilisation Scheme,,Crore of `,Q1 2018,0.00,0.00,
(xi) Ways and Means Advances,,Crore of `,Q1 2018,0.00,0.00,
(xii) 364 day Treasury Bills,,Crore of `,Q1 2018,"159,685.00","134,989.00",
(xiii) Gold Bonds.,,Crore of `,Q1 2018,"6,664.16","6,547.94",
(xiv) Compensation & other bonds,,Crore of `,Q1 2018,"65,438.50","61,840.29",
(xv) Securities issued to International Financial Institutions,,Crore of `,Q1 2018,"104,369.69","104,124.06",
(xvi) Securities against Small Savings,,Crore of `,Q1 2018,"176,655.04","179,848.62",
"(xvii)Spl.GOI Sec.issued to NSSF against  reinvestment of 
Central Govt. Securities",,Crore of `,Q1 2018,"250,719.50","2,50,719.5",
Total-Internal debt,,Crore of `,Q1 2018,"6,344,730.26","6,259,600.57",
2.External debt #,,Crore of `,Q1 2018,"482,998.47","456,665.00",
Total Public debt,,Crore of `,Q1 2018,"6,827,728.73","6,716,265.57",
B. Other liabilities,,Crore of `,Q1 2018,"867,211.45","849,949.84",
1. National Small Savings Fund,,Crore of `,Q1 2018,"85,348.60","109,262.53",
2 . State Provident Funds,,Crore of `,Q1 2018,"200,478.23","191,133.32",
3. Other Accounts,,Crore of `,Q1 2018,"324,633.27","322,206.95",
"(i) Special Deposits of Non-Government Provident 
Funds,etc.",,Crore of `,Q1 2018,"102,670.86","102,733.75",
(ii) Other items.,,Crore of `,Q1 2018,"221,962.41","219,473.20",
4. Reserve Funds & Deposits,,Crore of `,Q1 2018,"256,751.35","227,347.04",
(i) Bearing interest,,Crore of `,Q1 2018,"143,934.11","131,448.55",
(ii) Not bearing interest,,Crore of `,Q1 2018,"112,817.24","95,898.49",
TOTAL DEBT,,Crore of `,Q1 2018,"7,694,940.18","7,586,215.41",
Guaranteed debt,,,,,,
(i) Total guaranteed debt,,Crore of `,Q1 2018,"310,377.91","296,693.52",
(ii) Outstanding guaranteed debt,,Crore of `,Q1 2018,"273,710.83","247,750.79",
"Note: * Current, ** Previous, ***Q 1= First Quarter  (Jan - Mar 2018)",,,,,,
http://finmin.nic.in/the_ministry/dept_eco_affairs/middle_office/debt_stat.asp,,,,,,
# It Includes net cumulative SDR allocation and accrued interest thereon at end-March 2018.,,,,,,
