0,1,2,3,4,5,6,7
"Ministry of Finance.Department of Economic Affairs. Budget Division.
 Special Data Dissemination Standard [SDDS] National Summary Data Page 
[NSDP]",,,,,,,
Central Government Debt [CGD],,,,,,,
"SDDS DATA CATEGORY AND 
COMPONENT",,"Unit of 
Description",Period of Latest Data,,Latest Data,Previous Data,"Percentage 
change from 
previous to 
latest period"
1. Public debt (2+3),,` Crore,Apr/13-Jun/13,,4292870,4112187,4.4%
2.External debt,,` Crore,Apr/13-Jun/13,,401617,364443,10.2%
3.Internal debt,,` Crore,Apr/13-Jun/13,,3891253,3747744,3.8%
4 Other liabilities,,` Crore,Apr/13-Jun/13,,632197,627770,0.7%
5. TOTAL DEBT (1+4),,` Crore,Apr/13-Jun/13,,4925067,4739957,3.9%
Guaranteed debt,,,,,,,
1.Total guaranteed debt,,` Crore,Apr/13-Jun/13,,255060,232610,8.8%
II.Outstanding guaranteed debt,,` Crore,Apr/13-Jun/13,,225764,210320,6.8%
,,,,,,,
FISCAL SECTOR,,,,,,,
FISCAL SECTOR,,,,,,,
"SDDS DATA CATEGORY AND 
COMPONENT",,Foot notes,"Unit 
Description","Date of 
Latest 
Observation
***","Data 
Observations 
Latest Data*","Data Observations 
Latest Data-1**","More info 
Metadata Home"
CENTRAL GOVERNMENT DEBT,,,,,,,
A. Public debt,,,,,,,
1.Internal Debt,,,,,,,
(i)Market loans,,,Crore of `,Q2 2013,3122146.68,2983895.53,
(ii) Market loans in course of repayment,,,Crore of `,Q2 2013,435.93,414.1469,
(iii) Cash Management Bills,,,Crore of `,Q2 2013,0.00,0,
(iv) 91 day Treasury Bills,,,Crore of `,Q2 2013,142893.16,105142.03,
"(v) 91 day T.Bs funded into Spl 
Securities",,,Crore of `,Q2 2013,0,0,
"(vi)  Special Securities converted into 
Marketable Securities",,,Crore of `,Q2 2013,76817.95,76817.95,
"(vii) Other Special Securities issued to 
RBI",,,Crore of `,Q2 2013,1489.28,1489.28,
(viii) 14 day Treasury Bills,,,Crore of `,Q2 2013,63626.73,118380.19,
(ix) 182 day Treasury Bills,,,Crore of `,Q2 2013,64202.33,64196.08,
(x)Market Stabilisation Bills/Bonds,,,Crore of `,Q2 2013,0.00,0,
(xi) Ways and Means Advances,,,Crore of `,Q2 2013,14661.00,0,
(xii) 364 day Treasury Bills,,,Crore of `,Q2 2013,130795.59,130466.89,
"(xiii) Gold Bonds, 1998.",,,Crore of `,Q2 2013,0.00,0,
(xiv) Compensation & other bonds,,,Crore of `,Q2 2013,34654.60,27835.95,
"(xv) Securities issued to International 
Financial Institutions",,,Crore of `,Q2 2013,32847.63,32226.10,
(xvi) Securities against Small Savings,,,Crore of `,Q2 2013,96327.88,96525.99,
"(xvii)Spl.GOI Sec.issued to NSSF 
against  reinvestment of Central Govt. 
Securities",,,Crore of `,Q2 2013,110354.34,110354.34,
Total-Internal debt,,,Crore of `,Q2 2013,3891253.10,3747744.48,
2.External debt #,,,Crore of `,Q2 2013,401616.67,364442.82,
Total Public debt,,,Crore of `,Q2 2013,4292869.77,4112187.30,
B. Other liabilities,,,Crore of `,Q2 2013,632197.27,627769.60,
1. National Small Savings Fund,,,Crore of `,Q2 2013,27630.05,24453.96,
2 . State Provident Funds,,,Crore of `,Q2 2013,133781.21,129417.85,
3. Other Accounts,,,Crore of `,Q2 2013,328131.95,332540.81,
"(i) Special Deposits of Non-Government 
Provident Funds,etc.",,,Crore of `,Q2 2013,102057.74,102170.94,
(ii) Other items.,,,Crore of `,Q2 2013,226074.21,230369.87,
4. Reserve Funds & Deposits,,,Crore of `,Q2 2013,142654.06,141356.98,
(i) Bearing interest,,,Crore of `,Q2 2013,83523.96,83211.96,
(ii) Not bearing interest,,,Crore of `,Q2 2013,59130.10,58145.02,
TOTAL DEBT,,,Crore of `,Q2 2013,4925067.04,4739956.90,
Guaranteed debt,,,,,,,
(i) Total guaranteed debt,,,Crore of `,Q2 2013,255059.94,232610.04,
(ii) Outstanding guaranteed debt,,,Crore of `,Q2 2013,225764.28,210319.78,
"Note: *:-Current (data are provisional), **:-Previous Quarter, ***:-Q2= Second Qtr  (April - June 2013)",,,,,,,
"http://finmin.nic.in/the_ministry/dept_eco_affairs/middle_office/debt_stat.asp
# Includes net cumulative SDR allocation and accrued interest  thereon at end-June 2013.",,,,,,,
