0,1,2,3,4,5,6
"Ministry of Finance.Department of Economic Affairs. Budget Division.
 Special Data Dissemination Standard [SDDS] National Summary Data Page [NSDP]
Central Government Debt [CGD]",,,,,,
SDDS DATA CATEGORY AND COMPONENT,"Unit of 
Description",Period of Latest Data,,Latest Data,Previous Data,"Percentage change from 
previous to latest period"
1. Public debt (2+3),` Crore,Oct/14 - Dec /14,,5054804,4937230,2.4%
2.External debt,` Crore,Oct/14 - Dec /14,,413313,410400,0.7%
3.Internal debt,` Crore,Oct/14 - Dec /14,,4641492,4526830,2.5%
4 Other liabilities,` Crore,Oct/14 - Dec /14,,683623,686052,-0.4%
5. TOTAL DEBT (1+4),` Crore,Oct/14 - Dec /14,,5738427,5623282,2.0%
Guaranteed debt,,,,,,
1.Total guaranteed debt,` Crore,Oct/14 - Dec /14,,288734,291775,-1.0%
II.Outstanding guaranteed debt,` Crore,Oct/14 - Dec /14,,249711,249438,0.1%
,,,,,,
FISCAL SECTOR,,,,,,
FISCAL SECTOR,,,,,,
SDDS DATA CATEGORY AND COMPONENT,Foot notes,Unit Description Date of Latest,Observation***,"Data 
Observations 
Latest Data*","Data Observations 
Latest Data-1**",More info Metadata Home
CENTRAL GOVERNMENT DEBT,,,,,,
A. Public debt,,,,,,
1.Internal Debt,,,,,,
(i)Market loans,,Crore of `,Q4 2014,3802134.25,3704530.67,
(ii) Market loans in course of repayment,,Crore of `,Q4 2014,158.02,151.63,
(iii) Cash Management Bills,,Crore of `,Q4 2014,0.00,0.00,
(iv) 91 day Treasury Bills,,Crore of `,Q4 2014,185122.86,177826.72,
(v) 91 day T.Bs funded into Spl Securities,,Crore of `,Q4 2014,0.00,0.00,
"(vi)  Special Securities converted into Marketable 
Securities",,Crore of `,Q4 2014,67817.95,67817.95,
(vii) Other Special Securities issued to RBI,,Crore of `,Q4 2014,1489.28,1489.28,
(viii) 14 day Treasury Bills,,Crore of `,Q4 2014,71212.76,61963.69,
(ix) 182 day Treasury Bills,,Crore of `,Q4 2014,70069.21,70270.81,
(x)Market Stabilisation Bills/Bonds,,Crore of `,Q4 2014,0.00,0.00,
(xi) Ways and Means Advances,,Crore of `,Q4 2014,0.00,0.00,
(xii) 364 day Treasury Bills,,Crore of `,Q4 2014,142250.90,143165.03,
"(xiii) Gold Bonds, 1998.",,Crore of `,Q4 2014,0.00,0.00,
(xiv) Compensation & other bonds,,Crore of `,Q4 2014,34357.94,34477.54,
"(xv) Securities issued to International Financial 
Institutions",,Crore of `,Q4 2014,38602.28,36592.43,
(xvi) Securities against Small Savings,,Crore of `,Q4 2014,97973.77,98241.42,
"(xvii)Spl.GOI Sec.issued to NSSF against  
reinvestment of Central Govt. Securities",,Crore of `,Q4 2014,130302.34,130302.34,
Total-Internal debt,,Crore of `,Q4 2014,4641491.56,4526829.51,
2.External debt #,,Crore of `,Q4 2014,413312.61,410400.49,
Total Public debt,,Crore of `,Q4 2014,5054804.17,4937230.00,
B. Other liabilities,,Crore of `,Q4 2014,683622.66,686051.96,
1. National Small Savings Fund,,Crore of `,Q4 2014,60173.09,51443.91,
2 . State Provident Funds,,Crore of `,Q4 2014,145348.90,143913.00,
3. Other Accounts,,Crore of `,Q4 2014,319339.62,317920.14,
"(i) Special Deposits of Non-Government Provident 
Funds,etc.",,Crore of `,Q4 2014,102298.72,102393.47,
(ii) Other items.,,Crore of `,Q4 2014,217040.90,215526.67,
4. Reserve Funds & Deposits,,Crore of `,Q4 2014,158761.05,172774.91,
(i) Bearing interest,,Crore of `,Q4 2014,92520.16,93361.47,
(ii) Not bearing interest,,Crore of `,Q4 2014,66240.89,79413.44,
TOTAL DEBT,,Crore of `,Q4 2014,5738426.83,5623281.96,
Guaranteed debt,,,,,,
(i) Total guaranteed debt,,Crore of `,Q4 2014,288733.73,291774.99,
(ii) Outstanding guaranteed debt,,Crore of `,Q4 2014,249710.94,249438.14,
"Note: * Current, ** Previous, ***Q 4= Third  Quarter  (October  - December 2014)",,,,,,
http://finmin.nic.in/the_ministry/dept_eco_affairs/middle_office/debt_stat.asp,,,,,,
# Includes net cumulative SDR allocation and accrued interest  thereon at end-December 2014.,,,,,,
