0,1,2,3,4,5,6
"Ministry of Finance.Department of Economic Affairs. Budget Division.
 Special Data Dissemination Standard [SDDS] National Summary Data Page [NSDP]
Central Government Debt [CGD]",,,,,,
SDDS DATA CATEGORY AND COMPONENT,"Unit of 
Description",Period of Latest Data,,Latest Data,Previous Data,"Percentage change from 
previous to latest period"
1. Public debt (2+3),` Crore,July/16 - Sep /16,,6033464,5908033,2.1%
2.External debt,` Crore,July/16 - Sep /16,,459752,467259,-1.6%
3.Internal debt,` Crore,July/16 - Sep /16,,5573712,5440774,2.4%
4 Other liabilities,` Crore,July/16 - Sep /16,,770934,729830,5.6%
5. TOTAL DEBT (1+4),` Crore,July/16 - Sep /16,,6804398,6637863,2.5%
Guaranteed debt,,,,,,
1.Total guaranteed debt,` Crore,July/16 - Sep /16,,365657,320095,14.2%
II.Outstanding guaranteed debt,` Crore,July/16 - Sep /16,,285169,279261,2.1%
,,,,,,
FISCAL SECTOR,,,,,,
FISCAL SECTOR,,,,,,
SDDS DATA CATEGORY AND COMPONENT,Foot notes,Unit Description Date of Latest,Observation***,"Data 
Observations 
Latest Data*","Data Observations 
Latest Data-1**",More info Metadata Home
CENTRAL GOVERNMENT DEBT,,,,,,
A. Public debt,,,,,,
1.Internal Debt,,,,,,
(i)Market loans,,Crore of `,Q3 2016,4534035.68,4408183.18,
(ii) Market loans in course of repayment,,Crore of `,Q3 2016,3083.94,1338.97,
(iii) Cash Management Bills,,Crore of `,Q3 2016,0.00,0.00,
(iv) 91 day Treasury Bills,,Crore of `,Q3 2016,175804.56,194898.36,
(v) 91 day T.Bs funded into Spl Securities,,Crore of `,Q3 2016,0.00,0.00,
"(vi)  Special Securities converted into Marketable 
Securities",,Crore of `,Q3 2016,64817.95,64817.95,
(vii) Other Special Securities issued to RBI,,Crore of `,Q3 2016,1489.28,1489.28,
(viii) 14 day Treasury Bills,,Crore of `,Q3 2016,96091.67,82507.75,
(ix) 182 day Treasury Bills,,Crore of `,Q3 2016,88598.77,81595.87,
(x)Market Stabilisation Bills/Bonds,,Crore of `,Q3 2016,0.00,0.00,
(xi) Ways and Means Advances,,Crore of `,Q3 2016,0.00,0.00,
(xii) 364 day Treasury Bills,,Crore of `,Q3 2016,156555.32,154570.60,
(xiii) Gold Bonds.,,Crore of `,Q3 2016,0.00,0.00,
(xiv) Compensation & other bonds,,Crore of `,Q3 2016,32446.47,31676.41,
"(xv) Securities issued to International Financial 
Institutions",,Crore of `,Q3 2016,108553.59,106800.86,
(xvi) Securities against Small Savings,,Crore of `,Q3 2016,123663.62,124323.78,
"(xvii)Spl.GOI Sec.issued to NSSF against  
reinvestment of Central Govt. Securities",,Crore of `,Q3 2016,188570.81,188570.81,
Total-Internal debt,,Crore of `,Q3 2016,5573711.66,5440773.82,
2.External debt #,,Crore of `,Q3 2016,459752.30,467259.28,
Total Public debt,,Crore of `,Q3 2016,6033463.96,5908033.10,
B. Other liabilities,,Crore of `,Q3 2016,770934.43,729830.19,
1. National Small Savings Fund,,Crore of `,Q3 2016,87162.38,49659.52,
2 . State Provident Funds,,Crore of `,Q3 2016,170161.35,167919.08,
3. Other Accounts,,Crore of `,Q3 2016,320237.02,320234.01,
"(i) Special Deposits of Non-Government Provident 
Funds,etc.",,Crore of `,Q3 2016,103003.64,103125.42,
(ii) Other items.,,Crore of `,Q3 2016,217233.38,217108.59,
4. Reserve Funds & Deposits,,Crore of `,Q3 2016,193373.68,192017.58,
(i) Bearing interest,,Crore of `,Q3 2016,122199.60,122666.53,
(ii) Not bearing interest,,Crore of `,Q3 2016,71174.08,69351.05,
TOTAL DEBT,,Crore of `,Q3 2016,6804398.39,6637863.29,
Guaranteed debt,,,,,,
(i) Total guaranteed debt,,Crore of `,Q3 2016,365656.65,320095.39,
(ii) Outstanding guaranteed debt,,Crore of `,Q3 2016,285168.69,279260.99,
"Note: * Current, ** Previous, ***Q 3= Third  Quarter  (July - Sept 2016)",,,,,,
http://finmin.nic.in/the_ministry/dept_eco_affairs/middle_office/debt_stat.asp,,,,,,
# Includes net cumulative SDR allocation and accrued interest  thereon at end-Sept 2016.,,,,,,
