0,1,2,3,4,5,6
FISCAL SECTOR,,,,,,
FISCAL SECTOR,,,,,,
SDDS DATA CATEGORY AND,Foot notes,Unit,Date of,Data Observations,Data Observations,More
COMPONENT,,Description,Latest,Latest,Latest,info
,,,"Observation**
*",Data*,Data-1**,
CENTRAL GOVERNMENT DEBT,,,,,,Metadata
,,,,,,Home
A. Public debt,,,,,,
1.Internal Debt,,,,,,
(i)Market loans,,Crore of Rs,Q1 2011,2071389.66,2039951.76,
(ii) Market loans in course of repayment,,Crore of Rs,Q1 2011,1815.33,6213.29,
(iii) 91 day Treasury Bills,,Crore of Rs,Q1 2011,70390.51,62944.99,
(iv) 91 day T.Bs funded into Spl Securities,,Crore of Rs,Q1 2011,0.00,0.00,
"(v)  Special Securities converted into 
Marketable Securities",,Crore of Rs,Q1 2011,76817.95,76817.95,
(vi) Other Special Securities issued to RBI,,Crore of Rs,Q1 2011,1489.28,1489.28,
(vii) 14 day Treasury Bills,,Crore of Rs,Q1 2011,103100.18,80762.36,
(viii) 182 day Treasury Bills,,Crore of Rs,Q1 2011,22000.55,20800.00,
(ix)Market Stabilisation Bills/Bonds,,Crore of Rs,Q1 2011,0.00,0.00,
(x) Ways and Means Advances,,Crore of Rs,Q1 2011,0.00,0.00,
(xi) 364 day Treasury Bills,,Crore of Rs,Q1 2011,42477.69,42605.94,
"(xii) Gold Bonds, 1998.",,Crore of Rs,Q1 2011,0.00,0.00,
(xiii) Compensation & other bonds,,Crore of Rs,Q1 2011,31302.87,34186.79,
"(xiv) Securities issued to International 
Financial Institutions",,Crore of Rs,Q1 2011,29314.81,22037.22,
(xv) Securities against Small Savings,,Crore of Rs,Q1 2011,108130.96,83950.47,
"(xvi)Spl.GOI Sec.issued to NSSF against  
reinvestment of Central Govt. Securities",,Crore of Rs,Q1 2011,110354.34,110354.34,
Total-Internal debt,,Crore of Rs,Q1 2011,2668584.13,2582114.39,
2.External debt #,,Crore of Rs,Q1 2011,307043.63,301765.55,
Total Public debt,,Crore of Rs,Q1 2011,2975627.76,2883879.94,
B. Other liabilities,,Crore of Rs,Q1 2011,585436.12,599015.57,
1. National Small Savings Fund,,Crore of Rs,Q1 2011,-7734.70,12800.52,
2 . State Provident Funds,,Crore of Rs,Q1 2011,109553.56,105101.65,
3. Other Accounts,,Crore of Rs,Q1 2011,360568.89,367684.87,
"(i) Special Deposits of Non-Government 
Provident Funds,etc.",,Crore of Rs,Q1 2011,108259.53,109937.50,
(ii) Other items.,,Crore of Rs,Q1 2011,252309.36,257747.37,
4. Reserve Funds & Deposits,,Crore of Rs,Q1 2011,123048.37,113428.53,
(i) Bearing interest,,Crore of Rs,Q1 2011,69993.89,67447.41,
(ii) Not bearing interest,,Crore of Rs,Q1 2011,53054.48,45981.12,
TOTAL DEBT,,Crore of Rs,Q1 2011,3561063.88,3482895.51,
Guaranteed debt,,,,,,
(i) Total guaranteed debt,,Crore of Rs,Q1 2011,127964.11,120033.35,
(ii) Outstanding guaranteed debt,,Crore of Rs,Q1 2011,115401.43,104322.25,
"Note: * Current (data are provisional), ** Previous, ***Q1 =  First Qtr  (January-March, 2011)",,,,,,
http://finmin.nic.in/stats_data/central_govt_borrowingsdata_index.html.,,,,,,
# Includes net cumulative SDR allocation and accrued interest  theron at end-March 2011.,,,,,,
