0,1,2,3,4,5,6
"Ministry of Finance.Department of Economic Affairs. Budget Division.
 Special Data Dissemination Standard [SDDS] National Summary Data Page [NSDP]
Central Government Debt [CGD]",,,,,,
SDDS DATA CATEGORY AND COMPONENT,"Unit of 
Description",Period of Latest Data,,Latest Data,Previous Data,"Percentage change from 
previous to latest period"
1. Public debt (2+3),` Crore,Apr /16 - Jun /16,,5908033,5720411,3.3%
2.External debt,` Crore,Apr /16 - Jun /16,,467259,443766,5.3%
3.Internal debt,` Crore,Apr /16 - Jun /16,,5440774,5276645,3.1%
4 Other liabilities,` Crore,Apr /16 - Jun /16,,729830,736333,-0.9%
5. TOTAL DEBT (1+4),` Crore,Apr /16 - Jun /16,,6637863,6456744,2.8%
Guaranteed debt,,,,,,
1.Total guaranteed debt,` Crore,Apr /16 - Jun /16,,320095,314318,1.8%
II.Outstanding guaranteed debt,` Crore,Apr /16 - Jun /16,,279261,280894,-0.6%
,,,,,,
FISCAL SECTOR,,,,,,
FISCAL SECTOR,,,,,,
SDDS DATA CATEGORY AND COMPONENT,Foot notes,Unit Description Date of Latest,Observation***,"Data 
Observations 
Latest Data*","Data Observations 
Latest Data-1**",More info Metadata Home
CENTRAL GOVERNMENT DEBT,,,,,,
A. Public debt,,,,,,
1.Internal Debt,,,,,,
(i)Market loans,,Crore of `,Q2 2016,4408183.18,4298764.23,
(ii) Market loans in course of repayment,,Crore of `,Q2 2016,1338.97,1337.89,
(iii) Cash Management Bills,,Crore of `,Q2 2016,0.00,0.00,
(iv) 91 day Treasury Bills,,Crore of `,Q2 2016,194898.36,132854.70,
(v) 91 day T.Bs funded into Spl Securities,,Crore of `,Q2 2016,0.00,0.00,
"(vi)  Special Securities converted into Marketable 
Securities",,Crore of `,Q2 2016,64817.95,64817.95,
(vii) Other Special Securities issued to RBI,,Crore of `,Q2 2016,1489.28,1489.28,
(viii) 14 day Treasury Bills,,Crore of `,Q2 2016,82507.75,121127.23,
(ix) 182 day Treasury Bills,,Crore of `,Q2 2016,81595.87,77806.97,
(x)Market Stabilisation Bills/Bonds,,Crore of `,Q2 2016,0.00,0.00,
(xi) Ways and Means Advances,,Crore of `,Q2 2016,0.00,0.00,
(xii) 364 day Treasury Bills,,Crore of `,Q2 2016,154570.60,154033.20,
(xiii) Gold Bonds.,,Crore of `,Q2 2016,0.00,0.00,
(xiv) Compensation & other bonds,,Crore of `,Q2 2016,31676.41,32021.66,
"(xv) Securities issued to International Financial 
Institutions",,Crore of `,Q2 2016,106800.86,106726.18,
(xvi) Securities against Small Savings,,Crore of `,Q2 2016,124323.78,125285.34,
"(xvii)Spl.GOI Sec.issued to NSSF against  
reinvestment of Central Govt. Securities",,Crore of `,Q2 2016,188570.81,160380.34,
Total-Internal debt,,Crore of `,Q2 2016,5440773.82,5276644.97,
2.External debt #,,Crore of `,Q2 2016,467259.28,443766.17,
Total Public debt,,Crore of `,Q2 2016,5908033.10,5720411.14,
B. Other liabilities,,Crore of `,Q2 2016,729830.19,736333.13,
1. National Small Savings Fund,,Crore of `,Q2 2016,49659.52,62078.98,
2 . State Provident Funds,,Crore of `,Q2 2016,167919.08,166081.27,
3. Other Accounts,,Crore of `,Q2 2016,320234.01,319800.84,
"(i) Special Deposits of Non-Government Provident 
Funds,etc.",,Crore of `,Q2 2016,103125.42,103261.40,
(ii) Other items.,,Crore of `,Q2 2016,217108.59,216539.44,
4. Reserve Funds & Deposits,,Crore of `,Q2 2016,192017.58,188372.04,
(i) Bearing interest,,Crore of `,Q2 2016,122666.53,124204.30,
(ii) Not bearing interest,,Crore of `,Q2 2016,69351.05,64167.74,
TOTAL DEBT,,Crore of `,Q2 2016,6637863.29,6456744.27,
Guaranteed debt,,,,,,
(i) Total guaranteed debt,,Crore of `,Q2 2016,320095.39,314318.07,
(ii) Outstanding guaranteed debt,,Crore of `,Q2 2016,279260.99,280893.89,
"Note: * Current, ** Previous, ***Q 2= Second  Quarter  (April - June 2016)",,,,,,
http://finmin.nic.in/the_ministry/dept_eco_affairs/middle_office/debt_stat.asp,,,,,,
# Includes net cumulative SDR allocation and accrued interest  thereon at end-June 2016.,,,,,,
